,TP53 (M),TERT/5p (Amp),MCL1/1q (Amp),KRAS (M),EGFR (M),TP53/17p (Del),STK11/19p (Del),STK11 (M),KRAS/12p (Amp),KEAP1 (M),SMARCA4 (M),ATM (M),NF1 (M),PTPRD (M),PTPRT (M),ARID1A (M),PIK3CA (M),BRAF (M),SETD2 (M),EPHA3 (M),FAT1 (M),Seeding
0,0.0072525631298153755,0.3319454498168469,0.13421734132378862,1.1903725092376514,1.908232663623183,0.00979389522330934,0.22043768921013565,0.08301092624459964,0.006787474119549648,0.0033793396086240772,0.0019057585586944245,0.005032594775935135,0.8082628086394904,0.003732327748421328,-0.00034919158912296265,-0.0005017502324608531,0.15624506051423082,0.857381690634456,0.7880749881634465,0.024949568748423794,0.0040529560664848115,1.4685898887474123
1,0.024965135575141992,0.10575112086694793,0.004268331867392187,0.0016556169182511279,0.39373742082684404,0.0016387176883128143,0.04400465439551115,-0.0008493178932892009,0.0037675676595415866,0.004237571500007041,0.0012193114911721633,0.0010409907884798807,0.0008718440299591568,0.0012590645720119593,0.0007401098232480499,0.0009992160617477972,0.001087975861369907,-0.0007145320154158623,0.0009820163932567935,-0.001547309902035369,-0.0004600550632534363,2.4246422233249283
2,1.278763456887844,-0.010674339329140737,-0.8204657013119356,-0.30197577693915506,0.40302242086402956,0.012060748188589895,0.005185165706164851,-0.8993418632034169,-0.004423428279179162,-0.0630176523548435,-0.0024938596923178664,-0.5907485064148897,0.005012311484954418,0.005011385009835171,0.0013355832028557645,0.00024826547949803027,-0.003303823711312552,-0.006806063972703226,-0.2203047977518991,0.0011869937746298625,0.0033701920482343242,-0.40880184042383316
3,0.18196614823075657,0.5794013899938056,0.38258224560527226,-0.45128785476366295,0.6879723964152489,0.06298617477311574,0.003646116443995942,-0.23353222725018763,0.435327547395199,-0.475682616040442,-0.4081085980021575,-0.0011799870385622185,0.001101111501115631,-0.0008304729580293799,-0.0031072595634821704,0.005564438886819472,-0.002008945272753244,-0.0015325360891694632,0.003884809386948632,-0.0008866256331574013,0.002049294935608678,0.01976562332293826
4,0.008563483538338787,0.7042395287673929,0.21007788407619923,0.004134284945036894,0.857099187124883,0.38910101414833287,0.22815073236973013,0.4210353683478522,0.24019116792962333,0.4844237013535574,0.0008860630704140523,-0.0010899514868878523,-0.0017394175111695091,-0.005802209370744425,0.0035218120952353314,-0.0018182864528875384,-0.0008285128455659244,0.0012738343382183272,-0.022381828564948986,-0.0003845172326671395,-0.003569089527782883,-0.025564413965696933
5,-1.0619779827169122,-0.42932260627367985,-0.005190117192518868,1.2496331155036693,-2.3892362555934845,-0.0009059494411001855,-0.5605125503505726,0.01698490193198292,0.2221368415299895,-0.03944050565731574,-0.005452180422935425,0.1859215615756846,-0.08785210882749739,-0.0005505658885856858,-0.0030088345523873543,0.0011382593186926348,-0.00023455463727015049,-0.5771115443352709,-0.0012819475755913193,-0.0025478513023984174,-0.0023663152792255536,-0.8555868863519619
6,0.0995225049710777,-0.01788184584464756,-0.034471315456606665,-3.1764502951340603,0.9429401173741474,-0.011986051558408279,0.0468736571473764,-1.9433831498100818,0.00872368082836878,-1.7009780654865405,-0.06455837112894837,-0.10048201878075533,-0.9041769987598045,-0.48961873235827014,-0.3508156160835421,-0.36099980755521555,0.7698556576349672,-0.7673887605005226,-0.04790851447174242,-0.6913780406981186,-0.7546832710174289,-0.3132959895493229
7,0.0064576030939692,0.3913255218990293,-0.006476179587088554,-0.08313116334943682,0.936854864585444,-0.44531367553176743,1.2480963802554945,-0.4686854314966287,0.006151957891628896,-0.36529611522079836,-0.0005527875820153447,0.014192004232405065,-0.0017285045119553807,-0.00157222224368667,-0.0019823582684459383,-0.0017969915248659042,0.0008218529161377012,-0.0006472682109107755,-0.00042678175729298406,-0.0002898089788475148,-0.0017091878112555814,0.08414999874753774
8,0.10174743567199285,0.018718269702145334,0.43977902221828,-0.00633864853972869,0.807677706414454,1.527958756082655,-0.8823679106844285,1.0903115803159287,0.002233765160657123,0.5892037138506704,0.0016189215095730482,-0.0019857651918651713,-0.0017373418936326237,-0.0019429204869383205,0.0036060773910713217,-0.005306994841031554,-0.001762232620483165,-0.0011847111110513313,-0.001208399229550982,0.0019496276166724906,-0.0012613128508797546,0.015853473233303442
9,-0.7802012389007322,-0.07662968809312576,-0.0016951960447255518,0.46412547570406876,-0.9612902000003801,-0.19507015954098678,-0.023801568144537932,-0.14054974171963314,0.0017052168479934609,1.2020172485946674,-0.0004777186126010491,-0.001518073728641472,-0.00224158604057199,4.160614834528256e-05,0.0014715368444064517,-0.003669987968260709,-0.0038000653779441916,0.005102157476496462,-0.004464796019124592,0.0005955857734522175,-0.0031281127685813728,-0.24976129743196324
